"species","pop1","pop2","Dxy","guild","behavior","dist","div","dist_effect","div_effect","adjusted_Dxy"
"CLK","THA","PHI",0.236981954664135,"Generalist","Generalist",2703.34702283715,113102.75,-0.00829920422986902,0.0661204685623792,0.179160690331625
"CLK","TAI","PNG",0.277480524566817,"Generalist","Generalist",4465.73621361555,123466.25,0.000482512304724613,0.0781528479055176,0.198845164356575
"CLK","THA","PNG",0.289355370282459,"Generalist","Generalist",5820.11297576771,130501.25,0.00723116513832935,0.0863207244606368,0.195803480683493
"CLK","TAI","SOI",0.274913648231664,"Generalist","Generalist",5328.53762910348,121370.75,0.00478172016193727,0.0757199004540247,0.194412027615702
"CLK","THA","SOI",0.287850545929267,"Generalist","Generalist",6768.05653179963,128473.75,0.0119546232958265,0.0839667273440051,0.191929195289435
"CLK","THA","TAI",0.236450896036079,"Generalist","Generalist",2980.35368872974,112771.875,-0.00691892226332609,0.0657363113263913,0.177633506973014
"AKA","KNY","MDG",0.191708687144213,"RM specialist","Specialist",1807.77483383827,252.21875,-0.0127617038532241,-0.0649028730765158,0.269373264073952
"AKA","KNY","MYT",0.191088187855787,"RM specialist","Specialist",1257.99609311091,238.37125,-0.015501167464937,-0.0649189504994862,0.271508305820211
"AKA","KNY","THA",0.243837660104364,"RM specialist","Specialist",6489.3930854967,3040.5125,0.0105660858451942,-0.0616655682933729,0.294937142552543
"AKA","MDG","THA",0.237614522058824,"RM specialist","Specialist",6419.92327503552,2351.8625,0.0102199283753379,-0.0624651145889923,0.289859708272478
"AKA","MYT","THA",0.245019597960152,"RM specialist","Specialist",6328.43822534092,3041.5875,0.00976407232618885,-0.0616643201814614,0.296919845815424
"AKA","KNY","IDN",0.23683516959203,"RM specialist","Specialist",7713.45464272117,1635.1875,0.0166653978885749,-0.0632971988718836,0.283466970575339
"AKA","MDG","IDN",0.23761912357685,"RM specialist","Specialist",7089.39018264465,1680.425,0.0135557798675487,-0.0632446765811,0.287308020290401
"AKA","MYT","IDN",0.23800909629981,"RM specialist","Specialist",7184.45369387876,1637.275,0.0140294668447551,-0.0632947752127068,0.287274404667762
"AKA","THA","IDN",0.232663288662239,"RM specialist","Specialist",2013.31379071313,1892.1125,-0.0117375345803214,-0.0629989001250571,0.307399723367618
"AKA","MYT","MDG",0.190789753320683,"RM specialist","Specialist",557.734183431727,245.36875,-0.0189904657555488,-0.0649108261617187,0.274691045237951
"PRD","AUS","NCD",0.175489563567362,"RM specialist","Specialist",1758.88524564405,4747.425,-0.01300531321446,-0.0596837842719954,0.248178661053818
"PRD","IDN","NCD",0.252388549573055,"RM specialist","Specialist",5520.26967512201,18695.125,0.00573709170389999,-0.0434900256610734,0.290141483530228
"PRD","IDN","AUS",0.257951067362429,"RM specialist","Specialist",3764.94183491581,19744.375,-0.00300943919780341,-0.0422718103838227,0.303232316944055
"PRD","THA","AUS",0.261876790796964,"RM specialist","Specialist",6235.30389883929,27770.5,0.00929999818226133,-0.0329532036722439,0.285529996286947
"PRD","THA","IDN",0.233838116698292,"RM specialist","Specialist",2656.83071451998,2538.1125,-0.00853098789945492,-0.0622488719438763,0.304617976541623
"PRD","THA","NCD",0.262804275379507,"RM specialist","Specialist",7927.17862934019,20208.625,0.0177303519162959,-0.041732800193245,0.286806723656456
"MEL","AUS","NCD",0.220870465185185,"EQ specialist","Specialist",2019.76341017295,9386.8875,-0.0117053971102617,-0.0542972090080146,0.286873071303462
"MEL","IDN","NCD",0.297738980740741,"EQ specialist","Specialist",5429.84654638467,34488.375,0.00528652704491472,-0.02515352013099,0.317605973826816
"MEL","IDN","AUS",0.273192112592593,"EQ specialist","Specialist",3411.21428632459,17661.875,-0.00477200962121415,-0.044689664388945,0.322653786602752
"POL","THA","IDN",0.229387058054549,"SD specialist","Specialist",2649.1699331518,13762.25,-0.00856916040457517,-0.0492172629122225,0.287173481371346
"SAN","IDN","PNG",0.214445865954923,"SD specialist","Specialist",2918.96118300975,28875.375,-0.00722483175562345,-0.0316704058600425,0.253341103570589
"SAN","IDN","SOI",0.189613600237248,"SD specialist","Specialist",3841.7160587022,21950,-0.00262688495043098,-0.0397110040260565,0.231951489213735
"SAN","PNG","SOI",0.104141435349941,"SD specialist","Specialist",927.232605823311,719.89875,-0.0171493114733954,-0.0643598805381649,0.185650627361501
"SAN","IDN","AUS",0.144689798339265,"SD specialist","Specialist",2507.94523092684,1091.05625,-0.00927286155589364,-0.0639289539365293,0.217891613831687
"SAN","PNG","AUS",0.224197378410439,"SD specialist","Specialist",4934.74713894588,21155.75,0.00281952221117966,-0.040633155547578,0.262011011746837
"SAN","SOI","AUS",0.199449228944247,"SD specialist","Specialist",5749.21199884032,21088.125,0.0068778763842562,-0.040711670494563,0.233283023054554
